security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
Eastman Chemical Company,EMN,9.103,78.84,79.29,78.32,82.99,70.9,114.5,Materials,-0.57,down
Waste Management,WM,91.985,228.63,229.96,226.5,231.0,196.59,239.32,Industrials,-0.58,down
Biogen,BIIB,17.297,118.17,118.89,117.21,121.75,110.04,238.0,Health Care,-0.61,down
LyondellBasell,LYB,18.654,57.78,58.14,57.57,61.06,51.11,107.02,Materials,-0.62,down
Pfizer,PFE,126.984,22.39,22.53,22.24,23.05,20.92,31.54,Health Care,-0.62,down
eBay Inc.,EBAY,31.05,66.63,67.05,65.59,67.71,48.52,71.61,Consumer Discretionary,-0.63,down
W. W. Grainger,GWW,47.801,992.32,998.85,989.88,1014.84,874.98,1227.66,Industrials,-0.65,down
CSX Corporation,CSX,51.829,27.59,27.78,27.46,28.51,26.22,37.1,Industrials,-0.68,down
Pinnacle West Capital,PNW,11.249,94.36,95.01,93.48,94.94,72.78,96.5,Utilities,-0.68,down
Consolidated Edison,ED,40.53,112.52,113.3,111.34,113.1,87.28,114.87,Utilities,-0.69,down
Thermo Fisher Scientific,TMO,162.941,431.64,434.73,429.42,461.61,409.85,627.88,Health Care,-0.71,down
AutoZone,AZO,61.095,3652.11,3678.66,3629.66,3695.65,2728.97,3916.81,Consumer Discretionary,-0.72,down
Diamondback Energy,FANG,39.86,135.54,136.54,134.48,140.0,114.0,214.5,Energy,-0.73,down
Vici Properties,VICI,34.575,32.72,32.97,32.33,33.46,27.53,34.29,Real Estate,-0.76,down
Southern Company,SO,100.26,91.13,91.86,90.18,91.56,72.11,94.45,Utilities,-0.79,down
Realty Income,O,51.767,58.05,58.52,57.42,58.66,50.71,64.88,Real Estate,-0.8,down
Coca-Cola Company (The),KO,315.452,73.3,73.9,72.38,73.94,59.84,74.38,Consumer Staples,-0.81,down
Keurig Dr Pepper,KDP,47.744,35.19,35.48,34.72,35.53,30.12,38.28,Consumer Staples,-0.82,down
PepsiCo,PEP,195.083,142.26,143.46,140.85,144.0,138.33,183.41,Consumer Staples,-0.84,down
Travelers Companies (The),TRV,58.699,259.08,261.31,257.64,263.42,200.21,269.56,Financials,-0.85,down
ExxonMobil,XOM,464.406,107.37,108.3,106.48,109.3,97.8,126.34,Energy,-0.86,down
Archer Daniels Midland,ADM,23.105,48.12,48.54,47.78,49.02,40.98,66.08,Consumer Staples,-0.87,down
Uber,UBER,154.272,73.77,74.44,73.24,77.55,54.84,87.0,Industrials,-0.9,down
Duke Energy,DUK,94.346,121.42,122.53,120.05,122.11,96.68,125.27,Utilities,-0.91,down
Verisk Analytics,VRSK,40.591,290.05,292.7,288.83,297.1,217.34,306.68,Industrials,-0.91,down
Packaging Corporation of America,PKG,16.609,184.69,186.42,176.57,192.18,169.79,250.82,Materials,-0.93,down
MSCI Inc.,MSCI,41.393,533.41,538.48,531.81,559.99,449.0,642.45,Financials,-0.94,down
O’Reilly Automotive,ORLY,79.021,1380.5,1393.54,1371.98,1405.9,947.49,1458.37,Consumer Discretionary,-0.94,down
Campbell's Company (The),CPB,11.182,37.5,37.88,37.17,37.87,36.02,52.81,Consumer Staples,-1.0,down
Conagra Brands,CAG,12.039,25.22,25.48,25.02,25.58,23.06,33.24,Consumer Staples,-1.02,down
American Electric Power,AEP,57.147,107.02,108.15,105.58,108.12,84.31,110.48,Utilities,-1.04,down
Kenvue,KVUE,44.015,22.94,23.19,22.75,23.19,17.67,24.46,Consumer Staples,-1.08,down
Verizon,VZ,180.023,42.7,43.19,42.12,42.99,37.59,47.36,Communication Services,-1.13,down
"NVR, Inc.",NVR,21.03,7083.09,7166.92,7053.11,7369.81,6562.85,9964.77,Consumer Discretionary,-1.17,down
Exelon,EXC,47.246,46.8,47.37,46.24,47.21,34.01,48.11,Utilities,-1.2,down
Clorox,CLX,17.137,139.11,140.81,137.74,141.41,127.6,171.37,Consumer Staples,-1.21,down
Cboe Global Markets,CBOE,22.138,211.42,214.07,207.75,214.71,166.13,234.37,Financials,-1.24,down
Procter & Gamble,PG,388.612,165.73,167.88,163.11,166.61,156.69,180.43,Consumer Staples,-1.28,down
"Rollins, Inc.",ROL,26.645,54.93,55.66,54.64,55.81,42.34,56.26,Industrials,-1.31,down
APA Corporation,APA,5.66,15.65,15.86,15.4,16.59,13.58,33.41,Energy,-1.32,down
Mondelez International,MDLZ,87.293,67.38,68.29,66.88,68.54,53.95,76.06,Consumer Staples,-1.33,down
